_id,count
United States,616
United Kingdom,200
Japan,153
South Korea,111
Canada,84
United State,70
Taiwan,65
France,60
India,53
Australia,45
Spain,43
Mexico,41
China,34
Turkey,24
Canad,23
United Kingdo,23
Germany,21
Colombia,20
Brazil,18
Thailand,18
Russia,14
Argentina,12
Singapore,12
Franc,10
Italy,10
Egypt,9
Israel,9
Ireland,8
Sweden,8
New Zealand,8
Denmark,7
Belgium,7
Malaysia,6
Lebanon,6
Norway,5
South Kore,5
Netherlands,5
Australi,5
South Africa,5
Ital,5
German,4
Pakistan,4
Chile,4
Czech Republic,4
Hong Kong,4
Mexic,4
Japa,3
Norwa,3
Colombi,3
Greece,3
Poland,3
Irelan,3
Indonesia,2
Spai,2
West Germany,2
Ukraine,2
Indi,2
Argentin,2
Finlan,2
Chin,2
Denmar,2
Polan,2
Kuwait,1
Mauritiu,1
Austria,1
Syria,1
United Arab Emirates,1
Netherland,1
Croatia,1
Turke,1
Malta,1
Cypru,1
Czech Republi,1
Singapor,1
Iceland,1
Azerbaijan,1
Switzerland,1
Cuba,1
Saudi Arabi,1
Belgiu,1
Malaysi,1
Philippines,1
Hungary,1
Jordan,1
Lebano,1
Finland,1
